N,Avg Exec Time
6710000,1286000.5
6720000,1289000.4
6730000,1289596.7
6740000,1291180.6
6750000,1289162.2
6760000,1290861.7
6770000,1282354.6
6780000,1299617.0
6790000,1303652.2
6800000,1294884.5
6810000,1307070.2
6820000,1302605.0
6830000,1294780.2
6840000,1303479.7
6850000,1320016.6
6860000,1309784.3
6870000,1344841.8
6880000,1336513.8
6890000,1318124.6
6900000,1326762.1
6910000,1315208.8
6920000,1428112.0
6930000,1354532.0
6940000,1344900.7
6950000,1338130.4
6960000,1341516.5
6970000,1349906.8
6980000,1336130.3
6990000,1353817.7
7000000,1344628.1
7010000,1347731.7
7020000,1353488.4
7030000,1356141.4
7040000,1353534.4
7050000,1358805.2
7060000,1356572.7
7070000,1353975.0
7080000,1373190.5
7090000,1360561.6
7100000,1369492.2
7110000,1366372.3
7120000,1364537.8
7130000,1384020.7
7140000,1365329.0
7150000,1382998.6
7160000,1377568.7
7170000,1382848.4
7180000,1372357.3
7190000,1389933.8
7200000,1406011.6
7210000,1388001.8
7220000,1396167.8
7230000,1383512.0
7240000,1391519.0
7250000,1397886.4
7260000,1395553.5
7270000,1407170.9
7280000,1410662.0
7290000,1405105.6
7300000,1408223.5
7310000,1401920.9
7320000,1425455.7
7330000,1407737.0
7340000,1409821.3
7350000,1408122.7
7360000,1423030.9
7370000,1418712.0
7380000,1423527.8
7390000,1431016.9
7400000,1421831.6
7410000,1434944.0
7420000,1423574.6
7430000,1437883.7
7440000,1431824.8
7450000,1445933.9
7460000,1448163.7
7470000,1452079.6
7480000,1444892.2
7490000,1447793.4
7500000,1451479.8
7510000,1446297.8
7520000,1463491.7
7530000,1461318.7
7540000,1460570.2
7550000,1461800.5
7560000,1457021.1
7570000,1465233.5
7580000,1468996.5
7590000,1466765.1
7600000,1460311.2
7610000,1475924.1
7620000,1470604.0
7630000,1478384.5
7640000,1481168.2
7650000,1477118.6
7660000,1477983.3
7670000,1472386.1
7680000,1493035.9
7690000,1478706.0
7700000,1506501.8
7710000,1488582.8
7720000,1501713.1
7730000,1493405.5
7740000,1508712.0
7750000,1491264.4
7760000,1509093.2
7770000,1504368.1
7780000,1516279.1
7790000,1504072.6
7800000,1513345.9
7810000,1502921.7
7820000,1520002.9
7830000,1504629.7
7840000,1525734.4
7850000,1513520.1
7860000,1537247.0
7870000,1513448.2
7880000,1537649.2
7890000,1519668.0
7900000,1531185.8
7910000,1531255.5
7920000,1540830.8
7930000,1525596.4
7940000,1553910.8
7950000,1543717.5
7960000,1554346.2
7970000,1539001.1
7980000,1558312.2
7990000,1537661.3
8000000,1556098.0
8010000,1552809.6
8020000,1558620.7
8030000,1557419.1
8040000,1572991.3
8050000,1554068.0
8060000,1568251.6
8070000,1562173.1
8080000,1567187.4
8090000,1562370.5
8100000,1579410.7
8110000,1567953.3
8120000,1592491.5
8130000,1578594.3
8140000,1576491.7
8150000,1586715.5
8160000,1588426.1
8170000,1599560.8
8180000,1604983.2
8190000,1592991.3
8200000,1601129.4
8210000,1594234.1
8220000,1595688.8
8230000,1593519.5
8240000,1608141.4
8250000,1607810.3
8260000,1606629.2
8270000,1607596.0
8280000,1600513.8
8290000,1617144.3
8300000,1605622.4
8310000,1618932.4
8320000,1614424.1
8330000,1631661.0
8340000,1622646.5
8350000,1623721.3
8360000,1632155.9
8370000,1640786.9
8380000,1631224.3
